date,school,party_s,party_rv,party_kf,party_nb,party_sf,party_vegan,party_la,party_kd,party_df,party_v,party_el,party_alt,blank,invalid,not_voted,valid,electorate,municipality,zip_code,region
2015-01-29,Amager Privatskole,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Tårnby Kommune,2770,Region Hovedstaden
2015-01-29,Amagers International School,11,0,1,,3,,10,0,1,0,11,,2,0,3,37,42,Københavns Kommune,2300,Region Hovedstaden
2015-01-29,Amagerskolen,6,3,5,,5,,8,2,3,44,0,,0,1,0,76,77,Ringkøbing-Skjern Kommune,6900,Region Midtjylland
2015-01-29,Andreasskolen,14,5,8,,5,,3,0,1,13,1,,1,0,5,50,56,Holbæk Kommune,4300,Region Sjælland
2015-01-29,Anna Trolles Skole,5,1,2,,4,,2,0,6,13,0,,0,0,8,33,41,Middelfart Kommune,5464,Region Syddanmark
2015-01-29,Ans Skole,6,0,6,,7,,2,0,4,20,1,,0,1,7,46,54,Silkeborg Kommune,8643,Region Midtjylland
2015-01-29,Ansager Skole,7,4,2,,4,,8,0,2,24,0,,0,0,6,51,57,Varde Kommune,6823,Region Syddanmark
2015-01-29,Ansgarskolen,4,3,2,,7,,3,0,5,16,10,,1,0,69,50,120,Esbjerg Kommune,6760,Region Syddanmark
2015-01-29,Antvorskov Skole,20,34,49,,11,,44,3,7,55,1,,1,2,18,224,245,Slagelse Kommune,4200,Region Sjælland
2015-01-29,Arden Skole,3,11,0,,23,,1,0,8,31,1,,0,3,12,78,93,Mariagerfjord Kommune,9510,Region Nordjylland
2015-01-29,Arenaskolen,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Greve Kommune,2670,Region Sjælland
2015-01-29,Århus Friskole,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Aarhus Kommune,8260,Region Midtjylland
2015-01-29,Asaa Skole,11,3,14,,3,,6,0,0,13,2,,0,1,0,52,53,Brønderslev kommune,9340,Region Nordjylland
2015-01-29,Assens Skole,0,0,4,,0,,0,0,1,17,0,,0,1,0,22,23,Mariagerfjord Kommune,9550,Region Nordjylland
2015-01-29,Assensskolen,7,4,2,,4,,5,4,20,33,7,,5,6,17,86,114,Assens Kommune,5610,Region Syddanmark
2015-01-29,Atheneskolen - skolen for børn med særlige forudsætninger,0,6,3,,11,,6,0,0,4,2,,1,0,9,32,42,Gladsaxe Kommune,2860,Region Hovedstaden
2015-01-29,Augustenborg Skole,4,5,9,,3,,44,3,6,17,0,,4,0,0,91,95,Sønderborg Kommune,6440,Region Syddanmark
2015-01-29,Auning skole,17,6,0,,4,,9,0,6,27,8,,5,0,48,77,130,Norddjurs Kommune,8963,Region Midtjylland
2015-01-29,Avedøre Skole,20,4,3,,6,,5,1,13,9,6,,3,2,21,67,93,Hvidovre Kommune,2650,Region Hovedstaden
2015-01-29,Bagsværd Friskole (Hanna-Skolen),7,5,3,,7,,3,1,0,4,1,,0,1,6,31,38,Gladsaxe Kommune,2880,Region Hovedstaden
2015-01-29,Bagsværd Kostskole og Gymnasium,14,55,20,,4,,47,3,4,64,1,,2,8,35,212,257,Gladsaxe Kommune,2880,Region Hovedstaden
2015-01-29,Bakkegårdsskolen,57,6,19,,10,,5,0,0,19,2,,4,1,23,118,146,Gentofte Kommune,2820,Region Hovedstaden
2015-01-29,Bakkegårdsskolen,29,2,2,,5,,1,0,11,8,5,,0,0,12,63,75,Aarhus Kommune,8380,Region Midtjylland
2015-01-29,Bakkehusene,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Rebild Kommune,9574,Region Nordjylland
2015-01-29,Bakkelandets Friskole,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Horsens Kommune,8740,Region Midtjylland
